Station,Condition,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Perim
Station2,0point2,0point2,2022.02,1,2,17.638,8.819,0.047,19.036
Station2,0point2,0point2,2022.02,10,3,219.875,73.292,0.586,57.007
Station2,0point2,0point2,2022.02,11,10,221.696,22.17,0.59,25.13
Station2,0point2,0point2,2022.02,12,14,259.938,18.567,0.692,18.956
Station2,0point2,0point2,2022.02,13,35,708.819,20.252,1.888,35.026
Station2,0point2,0point2,2022.02,14,16,218.002,13.625,0.581,22.6
Station2,0point2,0point2,2022.02,15,2,22.529,11.264,0.06,27.261
Station2,0point2,0point2,2022.02,16,13,318.054,24.466,0.847,29.216
Station2,0point2,0point2,2022.02,17,16,588.918,36.807,1.568,30.203
Station2,0point2,0point2,2022.02,18,8,233.689,29.211,0.622,29.133
Station2,0point2,0point2,2022.02,19,4,142.17,35.542,0.379,33.481
Station2,0point2,0point2,2022.02,2,7,3815.115,545.016,10.159,107.582
Station2,0point2,0point2,2022.02,20,5,70.76,14.152,0.188,19.556
Station2,0point2,0point2,2022.02,21,11,146.384,13.308,0.39,18.625
Station2,0point2,0point2,2022.02,22,14,597.893,42.707,1.592,37.843
Station2,0point2,0point2,2022.02,23,9,169.485,18.832,0.451,22.931
Station2,0point2,0point2,2022.02,24,10,264.152,26.415,0.703,32.33
Station2,0point2,0point2,2022.02,25,11,305.931,27.812,0.815,29.576
Station2,0point2,0point2,2022.02,26,10,1263.684,126.368,3.365,64.209
Station2,0point2,0point2,2022.02,27,14,122.841,8.774,0.327,19.932
Station2,0point2,0point2,2022.02,28,15,310.978,20.732,0.828,24.268
Station2,0point2,0point2,2022.02,29,11,1330.619,120.965,3.543,45.945
Station2,0point2,0point2,2022.02,3,13,586.446,45.111,1.562,31.706
Station2,0point2,0point2,2022.02,4,12,421.774,35.148,1.123,25.033
Station2,0point2,0point2,2022.02,5,14,275.676,19.691,0.734,23.613
Station2,0point2,0point2,2022.02,6,12,544.641,45.387,1.45,39.858
Station2,0point2,0point2,2022.02,7,25,428.252,17.13,1.14,23.112
Station2,0point2,0point2,2022.02,8,24,1330.073,55.42,3.542,37.595
Station2,0point2,0point2,2022.02,9,7,61.707,8.815,0.164,16.218
Station3,0point2,0point2,2022.02,1,17,507.804,29.871,1.352,24.749
Station3,0point2,0point2,2022.02,10,25,753.382,30.135,2.006,27.215
Station3,0point2,0point2,2022.02,11,22,338.345,15.379,0.901,20.271
Station3,0point2,0point2,2022.02,12,13,358.507,27.577,0.955,23.832
Station3,0point2,0point2,2022.02,13,20,434.833,21.742,1.158,20.663
Station3,0point2,0point2,2022.02,14,13,228.642,17.588,0.609,19.59
Station3,0point2,0point2,2022.02,15,18,421.592,23.422,1.123,24.987
Station3,0point2,0point2,2022.02,16,20,486.733,24.337,1.296,22.344
Station3,0point2,0point2,2022.02,17,25,546.436,21.857,1.455,25.621
Station3,0point2,0point2,2022.02,18,21,867.014,41.286,2.309,27.18
Station3,0point2,0point2,2022.02,19,17,437.331,25.725,1.165,26.502
Station3,0point2,0point2,2022.02,2,19,323.413,17.022,0.861,18.595
Station3,0point2,0point2,2022.02,20,25,920.734,36.829,2.452,26.855
Station3,0point2,0point2,2022.02,21,28,623.881,22.281,1.661,23.222
Station3,0point2,0point2,2022.02,22,23,464.958,20.216,1.238,22.582
Station3,0point2,0point2,2022.02,23,37,642.118,17.355,1.71,21.556
Station3,0point2,0point2,2022.02,24,17,386.629,22.743,1.03,22.863
Station3,0point2,0point2,2022.02,25,28,684.938,24.462,1.824,22.11
Station3,0point2,0point2,2022.02,26,26,449.87,17.303,1.198,20.396
Station3,0point2,0point2,2022.02,27,25,1090.531,43.621,2.904,27.134
Station3,0point2,0point2,2022.02,28,43,864.75,20.11,2.303,20.33
Station3,0point2,0point2,2022.02,29,45,1967.768,43.728,5.24,29.964
Station3,0point2,0point2,2022.02,3,25,582.674,23.307,1.552,20.932
Station3,0point2,0point2,2022.02,30,32,529.11,16.535,1.409,19.428
Station3,0point2,0point2,2022.02,31,31,571.228,18.427,1.521,23.283
Station3,0point2,0point2,2022.02,32,44,1998.075,45.411,5.321,29.041
Station3,0point2,0point2,2022.02,4,25,411.446,16.458,1.096,17.521
