Type,Station,Condition,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Perim
Particle,Station2,0point2,0point2,2021.07,1,8,186.655,23.332,0.497,22.453
Particle,Station2,0point2,0point2,2021.07,10,9,189.022,21.002,0.503,30.256
Particle,Station2,0point2,0point2,2021.07,11,10,157.102,15.71,0.418,28.426
Particle,Station2,0point2,0point2,2021.07,12,18,546.852,30.381,1.456,36.063
Particle,Station2,0point2,0point2,2021.07,13,7,144.823,20.689,0.386,29.06
Particle,Station2,0point2,0point2,2021.07,14,18,828.512,46.028,2.206,37.516
Particle,Station2,0point2,0point2,2021.07,15,10,161.108,16.111,0.429,22.261
Particle,Station2,0point2,0point2,2021.07,16,5,127.159,25.432,0.339,27.653
Particle,Station2,0point2,0point2,2021.07,17,10,314.074,31.407,0.836,43.466
Particle,Station2,0point2,0point2,2021.07,18,8,162.123,20.265,0.432,25.508
Particle,Station2,0point2,0point2,2021.07,19,9,248.283,27.587,0.661,32.926
Particle,Station2,0point2,0point2,2021.07,2,7,120.317,17.188,0.32,25.363
Particle,Station2,0point2,0point2,2021.07,20,6,67.768,11.295,0.18,17.6
Particle,Station2,0point2,0point2,2021.07,21,7,197.008,28.144,0.525,28.179
Particle,Station2,0point2,0point2,2021.07,22,6,280.645,46.774,0.747,27.365
Particle,Station2,0point2,0point2,2021.07,23,1,139.308,139.308,0.371,51.862
Particle,Station2,0point2,0point2,2021.07,24,7,158.507,22.644,0.422,21.798
Particle,Station2,0point2,0point2,2021.07,25,11,551.015,50.092,1.467,36.04
Particle,Station2,0point2,0point2,2021.07,26,12,224.766,18.73,0.599,30.517
Particle,Station2,0point2,0point2,2021.07,27,10,123.335,12.334,0.328,17.341
Particle,Station2,0point2,0point2,2021.07,3,0,0,NaN,0,NaN
Particle,Station2,0point2,0point2,2021.07,4,7,276.483,39.498,0.736,33.971
Particle,Station2,0point2,0point2,2021.07,5,5,123.517,24.703,0.329,32.625
Particle,Station2,0point2,0point2,2021.07,6,5,148.777,29.755,0.396,25.537
Particle,Station2,0point2,0point2,2021.07,7,15,557.544,37.17,1.485,40.994
Particle,Station2,0point2,0point2,2021.07,8,9,129.527,14.392,0.345,36.662
Particle,Station2,0point2,0point2,2021.07,9,12,224.246,18.687,0.597,26.927
Particle,Station3,0point2,0point2,2021.07,1,10,116.623,11.662,0.311,16.046
Particle,Station3,0point2,0point2,2021.07,10,13,547.164,42.09,1.457,27.494
Particle,Station3,0point2,0point2,2021.07,11,13,279.266,21.482,0.744,22.695
Particle,Station3,0point2,0point2,2021.07,12,23,476.327,20.71,1.268,22.802
Particle,Station3,0point2,0point2,2021.07,13,11,267.456,24.314,0.712,25.079
Particle,Station3,0point2,0point2,2021.07,14,15,214.984,14.332,0.572,15.806
