Station,CorrectionFor,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Perim
Station2,CBBG,Heavy,2022.02,1,16,177.029,11.064,0.471,25.956
Station2,AlcianBlue,Heavy,2022.02,1,23,327.888,14.256,0.873,27.692
Station2,CBBG,Heavy,2022.02,10,13,86.16,6.628,0.229,19.83
Station2,AlcianBlue,Heavy,2022.02,10,20,194.589,9.729,0.518,26.999
Station2,CBBG,Heavy,2022.02,11,1,10.77,10.77,0.029,12.744
Station2,AlcianBlue,Heavy,2022.02,11,1,22.997,22.997,0.061,18.935
Station2,CBBG,Heavy,2022.02,12,30,298.413,9.947,0.795,28.7
Station2,AlcianBlue,Heavy,2022.02,12,37,370.994,10.027,0.988,29.691
Station2,CBBG,Heavy,2022.02,13,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,13,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,14,1,10.718,10.718,0.029,13.829
Station2,AlcianBlue,Heavy,2022.02,14,1,12.123,12.123,0.032,14.057
Station2,CBBG,Heavy,2022.02,15,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,15,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,16,1,6.868,6.868,0.018,10.219
Station2,AlcianBlue,Heavy,2022.02,16,1,6.998,6.998,0.019,10.447
Station2,CBBG,Heavy,2022.02,17,37,326.951,8.837,0.871,24.417
Station2,AlcianBlue,Heavy,2022.02,17,49,543.704,11.096,1.448,28.496
Station2,CBBG,Heavy,2022.02,18,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,18,1,5.281,5.281,0.014,8.677
Station2,CBBG,Heavy,2022.02,19,16,168.783,10.549,0.449,28.784
Station2,AlcianBlue,Heavy,2022.02,19,20,224.402,11.22,0.598,26.037
Station2,CBBG,Heavy,2022.02,2,10,63.241,6.324,0.168,19.725
Station2,AlcianBlue,Heavy,2022.02,2,8,50.598,6.325,0.135,19.675
Station2,CBBG,Heavy,2022.02,20,18,167.56,9.309,0.446,27.314
Station2,AlcianBlue,Heavy,2022.02,20,11,144.043,13.095,0.384,31.778
Station2,CBBG,Heavy,2022.02,21,19,182.778,9.62,0.487,27.882
Station2,AlcianBlue,Heavy,2022.02,21,23,230.775,10.034,0.615,28.213
Station2,CBBG,Heavy,2022.02,22,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,22,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,23,35,408.637,11.675,1.088,30.891
Station2,AlcianBlue,Heavy,2022.02,23,26,331.322,12.743,0.882,33.684
