Station,Condition,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Mean,Perim
Station2,0point2,0point2,2022.02,1,55,55.515,1.009,0.148,255,3.468
Station2,0point2,0point2,2022.02,10,54,40.921,0.758,0.109,255,3.228
Station2,0point2,0point2,2022.02,11,91,118.704,1.304,0.316,255,4.129
Station2,0point2,0point2,2022.02,12,34,47.763,1.405,0.127,255,4.371
Station2,0point2,0point2,2022.02,13,58,85.796,1.479,0.228,255,4.454
Station2,0point2,0point2,2022.02,14,118,159.834,1.355,0.426,255,4.271
Station2,0point2,0point2,2022.02,15,33,30.463,0.923,0.081,255,3.557
Station2,0point2,0point2,2022.02,16,110,75.234,0.684,0.2,255,3.27
Station2,0point2,0point2,2022.02,17,52,78.2,1.504,0.208,255,4.696
Station2,0point2,0point2,2022.02,18,111,121.046,1.091,0.322,255,4.065
Station2,0point2,0point2,2022.02,19,38,52.445,1.38,0.14,255,4.321
Station2,0point2,0point2,2022.02,2,92,100.806,1.096,0.268,255,3.835
Station2,0point2,0point2,2022.02,20,62,84.495,1.363,0.225,255,4.137
Station2,0point2,0point2,2022.02,21,58,83.923,1.447,0.223,255,4.216
Station2,0point2,0point2,2022.02,22,25,37.825,1.513,0.101,255,4.815
Station2,0point2,0point2,2022.02,23,44,72.945,1.658,0.194,255,4.621
Station2,0point2,0point2,2022.02,24,36,42.144,1.171,0.112,255,3.988
Station2,0point2,0point2,2022.02,25,49,81.842,1.67,0.218,255,4.793
Station2,0point2,0point2,2022.02,26,18,23.101,1.283,0.062,255,4.099
Station2,0point2,0point2,2022.02,27,38,59.834,1.575,0.159,255,4.541
Station2,0point2,0point2,2022.02,28,28,36.681,1.31,0.098,255,3.976
Station2,0point2,0point2,2022.02,29,39,40.297,1.033,0.107,255,3.968
Station2,0point2,0point2,2022.02,3,157,223.595,1.424,0.595,255,4.468
Station2,0point2,0point2,2022.02,4,28,32.18,1.149,0.086,255,3.95
Station2,0point2,0point2,2022.02,5,69,83.637,1.212,0.223,255,4.014
Station2,0point2,0point2,2022.02,6,104,146.592,1.41,0.39,255,4.203
Station2,0point2,0point2,2022.02,7,48,78.07,1.626,0.208,255,5.031
Station2,0point2,0point2,2022.02,8,280,275.52,0.984,0.734,255,3.736
Station2,0point2,0point2,2022.02,9,129,167.924,1.302,0.447,255,4.117
Station2,0point2,0point2,2021.11,1,20,21.93,1.097,0.058,255,3.583
Station2,0point2,0point2,2021.07,1,71,92.742,1.306,0.247,255,4.095
Station2,0point2,0point2,2022.05,1,21,28.694,1.366,0.076,255,4.573
Station2,0point2,0point2,2022.06,1,4,6.92,1.73,0.018,255,4.783
