;Date;Elbekilometer;Chla
;09.03.2021;634.23;9.41
;09.03.2021;665.06;20.87
;09.03.2021;723.92;14.99
;09.03.2021;723.92;6.57
;12.03.2021;614.19;12.62
;07.05.2021;608.165;92.03
;07.05.2021;633.022;19.10
;07.05.2021;651.955;21.23
;07.05.2021;665.546;24.55
;08.05.2021;692.01;8.05
;08.05.2021;711.515;6.90
;26.07.2021;609.61;28.51
;29.07.2021;609.61;41.23
;30.07.2021;632.88;20.15
;30.07.2021;651.32;8.94
;30.07.2021;665.41;9.40
;30.07.2021;692.00;8.85
;30.07.2021;714.98;5.96
;28.02.2022;610.16;7.60
;28.02.2022;634.37;6.18
;28.02.2022;651.96;13.95
;28.02.2022;665.55;10.69
;28.02.2022;691.30;10.31
;28.02.2022;712.05;11.95
;22.05.2022;608.41;132.20
;22.05.2022;632.59;18.84
;22.05.2022;651.15;7.61
;22.05.2022;664.64;7.26
;22.05.2022;692.21;4.38
;22.05.2022;713.08;7.64
;20.06.2022;617;152.72
;20.06.2022;633;22.61
;20.06.2022;651;12.63
;20.06.2022;664;17.78
;20.06.2022;692;6.98
;20.06.2022;712;10.92
;08.11.2022;608;6.37
;08.11.2022;633;6.02
;08.11.2022;651;21.8
;08.11.2022;665;12.29
;08.11.2022;692;3.87
;08.11.2022;711;5.01
