Datum_Uhrzeit;Abfluss (m3/s);Date;Year
01.01.00;484;2000-01-01 00:00:00 UTC;2000
02.01.00;496;2000-01-02 00:00:00 UTC;2000
03.01.00;504;2000-01-03 00:00:00 UTC;2000
04.01.00;513;2000-01-04 00:00:00 UTC;2000
05.01.00;516;2000-01-05 00:00:00 UTC;2000
06.01.00;508;2000-01-06 00:00:00 UTC;2000
07.01.00;501;2000-01-07 00:00:00 UTC;2000
08.01.00;492;2000-01-08 00:00:00 UTC;2000
09.01.00;477;2000-01-09 00:00:00 UTC;2000
10.01.00;476;2000-01-10 00:00:00 UTC;2000
11.01.00;485;2000-01-11 00:00:00 UTC;2000
12.01.00;492;2000-01-12 00:00:00 UTC;2000
13.01.00;492;2000-01-13 00:00:00 UTC;2000
14.01.00;491;2000-01-14 00:00:00 UTC;2000
15.01.00;486;2000-01-15 00:00:00 UTC;2000
16.01.00;476;2000-01-16 00:00:00 UTC;2000
17.01.00;466;2000-01-17 00:00:00 UTC;2000
18.01.00;468;2000-01-18 00:00:00 UTC;2000
19.01.00;460;2000-01-19 00:00:00 UTC;2000
20.01.00;449;2000-01-20 00:00:00 UTC;2000
21.01.00;445;2000-01-21 00:00:00 UTC;2000
22.01.00;447;2000-01-22 00:00:00 UTC;2000
23.01.00;480;2000-01-23 00:00:00 UTC;2000
24.01.00;547;2000-01-24 00:00:00 UTC;2000
25.01.00;590;2000-01-25 00:00:00 UTC;2000
26.01.00;616;2000-01-26 00:00:00 UTC;2000
27.01.00;623;2000-01-27 00:00:00 UTC;2000
28.01.00;617;2000-01-28 00:00:00 UTC;2000
29.01.00;596;2000-01-29 00:00:00 UTC;2000
30.01.00;571;2000-01-30 00:00:00 UTC;2000
31.01.00;560;2000-01-31 00:00:00 UTC;2000
01.02.00;563;2000-02-01 00:00:00 UTC;2000
02.02.00;566;2000-02-02 00:00:00 UTC;2000
03.02.00;604;2000-02-03 00:00:00 UTC;2000
04.02.00;730;2000-02-04 00:00:00 UTC;2000
05.02.00;887;2000-02-05 00:00:00 UTC;2000
06.02.00;1018;2000-02-06 00:00:00 UTC;2000
07.02.00;1116;2000-02-07 00:00:00 UTC;2000
08.02.00;1188;2000-02-08 00:00:00 UTC;2000
09.02.00;1245;2000-02-09 00:00:00 UTC;2000
10.02.00;1287;2000-02-10 00:00:00 UTC;2000
11.02.00;1308;2000-02-11 00:00:00 UTC;2000
12.02.00;1303;2000-02-12 00:00:00 UTC;2000
13.02.00;1293;2000-02-13 00:00:00 UTC;2000
14.02.00;1286;2000-02-14 00:00:00 UTC;2000
15.02.00;1288;2000-02-15 00:00:00 UTC;2000
16.02.00;1302;2000-02-16 00:00:00 UTC;2000
17.02.00;1313;2000-02-17 00:00:00 UTC;2000
18.02.00;1304;2000-02-18 00:00:00 UTC;2000
19.02.00;1261;2000-02-19 00:00:00 UTC;2000
20.02.00;1210;2000-02-20 00:00:00 UTC;2000
21.02.00;1175;2000-02-21 00:00:00 UTC;2000
22.02.00;1152;2000-02-22 00:00:00 UTC;2000
23.02.00;1132;2000-02-23 00:00:00 UTC;2000
24.02.00;1115;2000-02-24 00:00:00 UTC;2000
25.02.00;1098;2000-02-25 00:00:00 UTC;2000
26.02.00;1072;2000-02-26 00:00:00 UTC;2000
27.02.00;1047;2000-02-27 00:00:00 UTC;2000
28.02.00;1025;2000-02-28 00:00:00 UTC;2000
29.02.00;1028;2000-02-29 00:00:00 UTC;2000
01.03.00;1076;2000-03-01 00:00:00 UTC;2000
02.03.00;1124;2000-03-02 00:00:00 UTC;2000
03.03.00;1159;2000-03-03 00:00:00 UTC;2000
04.03.00;1183;2000-03-04 00:00:00 UTC;2000
05.03.00;1190;2000-03-05 00:00:00 UTC;2000
06.03.00;1178;2000-03-06 00:00:00 UTC;2000
07.03.00;1172;2000-03-07 00:00:00 UTC;2000
08.03.00;1183;2000-03-08 00:00:00 UTC;2000
09.03.00;1209;2000-03-09 00:00:00 UTC;2000
10.03.00;1234;2000-03-10 00:00:00 UTC;2000
11.03.00;1260;2000-03-11 00:00:00 UTC;2000
12.03.00;1273;2000-03-12 00:00:00 UTC;2000
13.03.00;1291;2000-03-13 00:00:00 UTC;2000
