Sample	Associatednumber	DNA_concentration_ng.uL	Station	StationNumber	Stromkilometer	Sample_type	Sample_date	Sat_O2_Perc	Temperature_TBDHereon	Salinity_PSU	Turbidity_NTU	pH	O2_uM	SPM_mgperL	DOC_mg.L	TN_mg.L	DIC_mg.L	Silicate_mg.L	Ammonium_mg.L	Nitrite_mg.L	Nitrate_mg.L	Total_DIN_uM	SRP_mgperL	TotalDissolvedPhosphate_mg.L	Ammonium_uM	Nitrite_uM	Nitrate_uM	SRP_uM	Phosphate_uM	Silicate_uM	DOC_uM/L	DIC_uM/L	RespirationRate_O2ug.L.h	POC_mgperL	PTC_mgperL	PTN_mgperL	PTH_mgperL	AccessionNumber_TBDSven
ML1	1	80	Muhlenberger Loch	2	633.022	Light_fraction	May 21	59.37	11.38	0.42	19.48	7.96	202.41	5.5	8.6575	2.3125	23.535		10.358	1.574	95.09	107.02	NA		10.358	1.574	95.09	NA	0.65	8.345	720.8156061	1959.502777		1.951015827	2.494001108	3.260857354	0.78551216	
ML2	2	153	Muhlenberger Loch	2	633.022	Light_fraction	May 21	59.37	11.38	0.42	19.48	7.96	202.41	5.5	8.6575	2.3125	23.535		10.358	1.574	95.09	107.02	NA		10.358	1.574	95.09	NA	0.65	8.345	720.8156061	1959.502777		1.91664967	2.383047515	2.545059398	0.68732314	
MH1	3	77	Muhlenberger Loch	2	633.022	Heavy_fraction	May 21	59.37	11.38	0.42	19.48	7.96	202.41	7.333333333	8.6575	2.3125	23.535		10.358	1.574	95.09	107.02	NA		10.358	1.574	95.09	NA	0.65	8.345	720.8156061	1959.502777		2.718853964	3.168559675	1.291185613	0.68732314	
MH2	4	200	Muhlenberger Loch	2	633.022	Heavy_fraction	May 21	59.37	11.38	0.42	19.48	7.96	202.41	7.333333333	8.6575	2.3125	23.535		10.358	1.574	95.09	107.02	NA		10.358	1.574	95.09	NA	0.65	8.345	720.8156061	1959.502777		2.661904332	3.277549488	3.012439134	0.88370118	
MF1	5	0.216	Muhlenberger Loch	2	633.022	Free_living	May 21	59.37	11.38	0.42	19.48	7.96	202.41	29.75	8.6575	2.3125	23.535		10.358	1.574	95.09	107.02	NA		10.358	1.574	95.09	NA	0.65	8.345	720.8156061	1959.502777						
MF2	6	18	Muhlenberger Loch	2	633.022	Free_living	May 21	59.37	11.38	0.42	19.48	7.96	202.41	29.75	8.6575	2.3125	23.535		10.358	1.574	95.09	107.02	NA		10.358	1.574	95.09	NA	0.65	8.345	720.8156061	1959.502777						
SchL1	7	157	Schwarztonnensand	4	665.546	Light_fraction	May 21	74.7	10.51	0.72	270	7.92	259.96	55.16666667	6.4745	1.6775	17.315		0.118	0.05	137.3	137.47	NA		0.118	0.05	137.3	NA	1.25	36.712	539.0610039	1441.631212		18.11783797	24.05729179	4.285950723	5.20401806	
SchL2	8	111	Schwarztonnensand	4	665.546	Light_fraction	May 21	74.7	10.51	0.72	270	7.92	259.96	55.16666667	6.4745	1.6775	17.315		0.118	0.05	137.3	137.47	NA		0.118	0.05	137.3	NA	1.25	36.712	539.0610039	1441.631212		27.56853115	30.47198047	3.793041843	7.26598748	
SchH1	9	85	Schwarztonnensand	4	665.546	Heavy_fraction	May 21	74.7	10.51	0.72	270	7.92	259.96	88.16666667	6.4745	1.6775	17.315		0.118	0.05	137.3	137.47	NA		0.118	0.05	137.3	NA	1.25	36.712	539.0610039	1441.631212		28.7850931	39.2451694	4.688525705	11.2917373	
SchH2	10	200	Schwarztonnensand	4	665.546	Heavy_fraction	May 21	74.7	10.51	0.72	270	7.92	259.96	88.16666667	6.4745	1.6775	17.315		0.118	0.05	137.3	137.47	NA		0.118	0.05	137.3	NA	1.25	36.712	539.0610039	1441.631212		26.09962341	30.84411685	4.382175963	8.14968866	
SchF1	11	0.843	Schwarztonnensand	4	665.546	Free_living	May 21	74.7	10.51	0.72	270	7.92	259.96	443.9	6.4745	1.6775	17.315		0.118	0.05	137.3	137.47	NA		0.118	0.05	137.3	NA	1.25	36.712	539.0610039	1441.631212						
SchF2	12	1.48	Schwarztonnensand	4	665.546	Free_living	May 21	74.7	10.51	0.72	270	7.92	259.96	443.9	6.4745	1.6775	17.315		0.118	0.05	137.3	137.47	NA		0.118	0.05	137.3	NA	1.25	36.712	539.0610039	1441.631212						
MGL1	13	15	Meedem Grund	6	711.515	Light_fraction	May 21	81.69	10.43	10.37	47.83	8.04	287.22	12.86666667	7.1965	1.8495	19.98		3.4	0.357	86.86	90.62	NA		3.4	0.357	86.86	NA	1.057	39.859	599.1740698	1663.516698		1.959852839	2.467490073	3.361992045	1.27645726	
MGL2	14	23	Meedem Grund	6	711.515	Light_fraction	May 21	81.69	10.43	10.37	47.83	8.04	287.22	12.86666667	7.1965	1.8495	19.98		3.4	0.357	86.86	90.62	NA		3.4	0.357	86.86	NA	1.057	39.859	599.1740698	1663.516698		1.951015827	2.705107501	2.463562512	1.08007922	
MGH1	15	109	Meedem Grund	6	711.515	Heavy_fraction	May 21	81.69	10.43	10.37	47.83	8.04	287.22	16.33333333	7.1965	1.8495	19.98		3.4	0.357	86.86	90.62	NA		3.4	0.357	86.86	NA	1.057	39.859	599.1740698	1663.516698		2.745364999	3.48374643	3.179360468	1.27645726	
MGH2	16	34	Meedem Grund	6	711.515	Heavy_fraction	May 21	81.69	10.43	10.37	47.83	8.04	287.22	16.33333333	7.1965	1.8495	19.98		3.4	0.357	86.86	90.62	NA		3.4	0.357	86.86	NA	1.057	39.859	599.1740698	1663.516698		2.974145416	2.205325389	3.195070711	0.9818902	
MGF1	17	3.34	Meedem Grund	6	711.515	Free_living	May 21	81.69	10.43	10.37	47.83	8.04	287.22	76.62	7.1965	1.8495	19.98		3.4	0.357	86.86	90.62	NA		3.4	0.357	86.86	NA	1.057	39.859	599.1740698	1663.516698						
MGF2	18	2.02	Meedem Grund	6	711.515	Free_living	May 21	81.69	10.43	10.37	47.83	8.04	287.22	76.62	7.1965	1.8495	19.98		3.4	0.357	86.86	90.62	NA		3.4	0.357	86.86	NA	1.057	39.859	599.1740698	1663.516698						
BHL1	20	200	BunthausSpitze	1	608.165	Light_fraction	May 21	94.12	10.35	0.43	17.6	NA	328.82	7.766666667	8.884	4.8735	19.82		0.105	0.241	41.28	41.62	NA		0.105	0.241	41.28	NA	0	-0.57	739.6737909	1650.195243						
BHL2	21	200	BunthausSpitze	1	608.165	Light_fraction	May 21	94.12	10.35	0.43	17.6	NA	328.82	7.766666667	8.884	4.8735	19.82		0.105	0.241	41.28	41.62	NA		0.105	0.241	41.28	NA	0	-0.57	739.6737909	1650.195243						
BHH1	22	200	BunthausSpitze	1	608.165	Heavy_fraction	May 21	94.12	10.35	0.43	17.6	NA	328.82	8.3	8.884	4.8735	19.82		0.105	0.241	41.28	41.62	NA		0.105	0.241	41.28	NA	0	-0.57	739.6737909	1650.195243						
BHH2	23	200	BunthausSpitze	1	608.165	Heavy_fraction	May 21	94.12	10.35	0.43	17.6	NA	328.82	8.3	8.884	4.8735	19.82		0.105	0.241	41.28	41.62	NA		0.105	0.241	41.28	NA	0	-0.57	739.6737909	1650.195243						
BHF1	24	100	BunthausSpitze	1	608.165	Free_living	May 21	94.12	10.35	0.43	17.6	NA	328.82	34.03	8.884	4.8735	19.82		0.105	0.241	41.28	41.62	NA		0.105	0.241	41.28	NA	0	-0.57	739.6737909	1650.195243						
BHF2	25	109	BunthausSpitze	1	608.165	Free_living	May 21	94.12	10.35	0.43	17.6	NA	328.82	34.03	8.884	4.8735	19.82		0.105	0.241	41.28	41.62	NA		0.105	0.241	41.28	NA	0	-0.57	739.6737909	1650.195243						
TL1	26	72	Twielenfleth	3	651.955	Light_fraction	May 21	66.33	10.87	0.47	102.68	7.79	229.39	19.76666667	8.8185	2.2505	28.025		0.301	0.114	96.88	97.29	NA		0.301	0.114	96.88	NA	0.871	16.421	734.2203202	2333.336109		6.891887314	12.15776446	4.192671154	2.9456706	
TL2	27	26	Twielenfleth	3	651.955	Light_fraction	May 21	66.33	10.87	0.47	102.68	7.79	229.39	19.76666667	8.8185	2.2505	28.025		0.301	0.114	96.88	97.29	NA		0.301	0.114	96.88	NA	0.871	16.421	734.2203202	2333.336109		5.827518337	10.44632984	4.51767681	2.74929256	
TH1	28	18	Twielenfleth	3	651.955	Heavy_fraction	May 21	66.33	10.87	0.47	102.68	7.79	229.39	13.3	8.8185	2.2505	28.025		0.301	0.114	96.88	97.29	NA		0.301	0.114	96.88	NA	0.871	16.421	734.2203202	2333.336109		5.827518337	7.160925229	3.770458368	2.16015844	
TH2	29	200	Twielenfleth	3	651.955	Heavy_fraction	May 21	66.33	10.87	0.47	102.68	7.79	229.39	13.3	8.8185	2.2505	28.025		0.301	0.114	96.88	97.29	NA		0.301	0.114	96.88	NA	0.871	16.421	734.2203202	2333.336109		5.879558518	7.114776389	2.480254645	2.25834746	
TF1	30	2.04	Twielenfleth	3	651.955	Free_living	May 21	66.33	10.87	0.47	102.68	7.79	229.39	326.4	8.8185	2.2505	28.025		0.301	0.114	96.88	97.29	NA		0.301	0.114	96.88	NA	0.871	16.421	734.2203202	2333.336109						
TF2	31	6	Twielenfleth	3	651.955	Free_living	May 21	66.33	10.87	0.47	102.68	7.79	229.39	326.4	8.8185	2.2505	28.025		0.301	0.114	96.88	97.29	NA		0.301	0.114	96.88	NA	0.871	16.421	734.2203202	2333.336109						
BbL1	32	13	Brunsbuttel	5	692.01	Light_fraction	May 21	79.11	10.63	1.3	63.01	8	274.68	11.76666667	8.0185	2.4975	22.885		0.362	0.066	95.78	96.21	NA		0.362	0.066	95.78	NA	1.009	34.905	667.613045	1905.384366		1.762492909	2.904431212	3.997275004	1.66921334	
BbL2	33	7.4	Brunsbuttel	5	692.01	Light_fraction	May 21	79.11	10.63	1.3	63.01	8	274.68	11.76666667	8.0185	2.4975	22.885		0.362	0.066	95.78	96.21	NA		0.362	0.066	95.78	NA	1.009	34.905	667.613045	1905.384366		2.096335577	3.341372351	1.653503097	1.37464628	
BbH1	34	16	Brunsbuttel	5	692.01	Heavy_fraction	May 21	79.11	10.63	1.3	63.01	8	274.68	12.9	8.0185	2.4975	22.885		0.362	0.066	95.78	96.21	NA		0.362	0.066	95.78	NA	1.009	34.905	667.613045	1905.384366		1.898975647	2.871046945	0.988763431	1.17826824	
BbH2	35	25	Brunsbuttel	5	692.01	Heavy_fraction	May 21	79.11	10.63	1.3	63.01	8	274.68	12.9	8.0185	2.4975	22.885		0.362	0.066	95.78	96.21	NA		0.362	0.066	95.78	NA	1.009	34.905	667.613045	1905.384366		2.189615146	3.505348014	1.578879442	1.27645726	
BbF1	36	2.05	Brunsbuttel	5	692.01	Free_living	May 21	79.11	10.63	1.3	63.01	8	274.68	89.25	8.0185	2.4975	22.885		0.362	0.066	95.78	96.21	NA		0.362	0.066	95.78	NA	1.009	34.905	667.613045	1905.384366						
BbF2	37	2.06	Brunsbuttel	5	692.01	Free_living	May 21	79.11	10.63	1.3	63.01	8	274.68	89.25	8.0185	2.4975	22.885		0.362	0.066	95.78	96.21	NA		0.362	0.066	95.78	NA	1.009	34.905	667.613045	1905.384366						
ML1	39	78	Muhlenberger Loch	2	632.884	Light_fraction	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	17	6.818	1.163	18.36		0.058	0.068	2.527	189.021	0.081	0.079143	1.876	2.849	184.296	NA	2.653	147.606	567.6605027	1528.636965		1.759547238	2.097317467	2.930942247	0.88370118	
ML2	40	4.56	Muhlenberger Loch	2	632.884	Light_fraction	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	17	6.447	0.9963	16.45		0.046	0.046	1.786	189.021	0.07	0.081975	1.876	2.849	184.296	NA	2.653	147.606	536.7713789	1369.612096		1.551386516	2.005019788	2.366355382	0.78551216	
MH1	41	22	Muhlenberger Loch	2	632.884	Heavy_fraction	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	21	6.818	1.163	18.36		0.058	0.068	2.527	189.021	0.081	0.079143	1.876	2.849	184.296	NA	2.653	147.606	567.6605027	1528.636965		1.81846065	2.150339538	3.424833018	0.88370118	
MH2	42	35	Muhlenberger Loch	2	632.884	Heavy_fraction	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	21	6.447	0.9963	16.45		0.046	0.046	1.786	189.021	0.07	0.081975	1.876	2.849	184.296	NA	2.653	147.606	536.7713789	1369.612096		1.771329921	2.194524597	3.33940857	0.88370118	
MF1	43	45	Muhlenberger Loch	2	632.884	Free_living	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	NA	6.818	1.163	18.36		0.058	0.068	2.527	189.021	0.081	0.079143	1.876	2.849	184.296	NA	2.653	147.606	567.6605027	1528.636965						
